"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Cost","Sale Price","Margin"
"210000002277","","","https://www.usedgames.ca/bid-used-board-game-1985.html?source=bgg","69323","Bid$ (1985) (used)","1","$0.01","$0.01","$84.95","99.99%"
"210000002280","","","https://www.usedgames.ca/here-i-stand-unused-board-game-2006-unpunched.html?source=bgg","17392","Here I Stand (2006) (unpunched)","1","$0.01","$0.01","$79.95","99.99%"
"210000002281","4015566000537","","https://www.usedgames.ca/a-la-carte-2006-a-la-carte-dessert-2010-used-board.html","217","A la carte (1989) (used) (Made in 2006) + A la carte: Dessert (2010) (used)","1","$0.01","$0.01","$149.95","99.99%"
"210000002283","01884710030","","https://www.usedgames.ca/imperium-romanum-ii-unpunched-board-game-1985.html?source=bgg","1496","Imperium Romanum II (1985) (unpunched board game )","1","$0.01","$0.01","$74.95","99.99%"
"210000002284","06215810001","","https://www.usedgames.ca/the-syndicate-board-game-1986.html?source=bgg","5821","The Syndicate (1986) (used) (o)","1","$0.01","$0.01","$34.95","99.97%"
"210000002286","06215810001","","https://www.usedgames.ca/copy-of-the-syndicate-used-board-game-1986-o.html?source=bgg","5821","The Syndicate (1986) (used) (F)","1","$0.01","$0.01","$39.95","99.97%"
"210000002287","","","https://www.usedgames.ca/super-hi-q-used-board-game-1980.html?source=bgg","13713","Solitaire (1697)  (Super HI-Q) (used)  (Made in 1980)","1","$0.01","$0.01","$12.95","99.92%"
"210000002288","","","https://www.usedgames.ca/go-for-the-gold-used-travia-game-calgary-1988-wint.html","none","Go for the Gold (1988) (used) Trivia game  (Calgary 1988 Winter Olympic)","1","$0.01","$0.01","$149.95","99.99%"
"210000002289","","","https://www.usedgames.ca/addiction-used-board-game-1978.html?source=bgg","10429","Addiction (1978) (used)","1","$0.01","$0.01","$13.95","99.93%"
"210000002295","","","https://www.usedgames.ca/copy-of-axis-allies-d-day-nis-board-game-2004.html","10081","Axis & Allies: D-Day (2004) (NIS) - Shrink is torn","1","$0.01","$0.01","$64.95","99.98%"
"210000002296","","","https://www.usedgames.ca/after-the-holocaust-the-nuclear-devastation-of-ame.html","5475","After the Holocaust: The Nuclear Devastation of America – Recovery and Reunification (1977) (Unpunched)","1","$0.01","$0.01","$49.95","99.98%"
"210000002311","","","https://www.usedgames.ca/cargoes-used-board-game-1964.html?source=bgg","12236","Cargoes (1934) (used)  (Made in 1964)","1","$0.01","$0.01","$19.95","99.95%"
"210000002314","","","https://www.usedgames.ca/battles-for-the-ardennes-used-board-game-1978.html?source=bgg","7092","Battles for the Ardennes (1978) (used)","1","$0.01","$0.01","$29.95","99.97%"
"210000002315","","","https://www.usedgames.ca/lancer-used-board-game-1973.html?source=bgg","2691","Lancer (1973) (used)","1","$0.01","$0.01","$24.95","99.96%"
"210000002316","672975032623","","","","Arcs Leaders & Lore Pack Board Game NIS (2024) (Hidden)","2","$24.20","$12.10","$19.99","39.47%"
"210000002317","","","","","Arcs NIS Board Game (2024) Fully Sleeved NEW","1","$46.00","$46.00","$89.95","48.86%"
"210000002318","","","","","Arcs: The Blighted Reach Expansion NIS (2024) Fully Sleeved NEW","1","$77.70","$77.70","$179.95","56.82%"
"210000002320","","","https://www.usedgames.ca/kalua-2012-nis-board-game.html?source=bgg","69356","Kalua (2012) NIS Board Game","1","$0.01","$0.01","$19.95","99.95%"
"210000002321","","","https://www.usedgames.ca/inbetween-2017-nis-board-game-hidden.html","230342","InBetween (2017) NIS Board Game","1","$0.01","$0.01","$29.95","99.97%"
"210000002322","","","https://www.usedgames.ca/scary-tales-little-red-vs-pinocchio-2009-nis-board.html?source=bgg","42132","Scary Tales: Little Red vs. Pinocchio (2009) (NIS)","1","$0.01","$0.01","$19.95","99.95%"
"210000002323","","","https://www.usedgames.ca/arena-maximus-2003-nis-board-game.html?source=bgg","7719","Arena Maximus (2003) (NIS)","1","$0.01","$0.01","$19.95","99.95%"
"210000002324","700304158673","","","","Risk: Dune NIS Board Game (2024) (Sleeved)","11","$506.00","$46.00","$69.95","34.24%"
"210000002326","","","https://www.usedgames.ca/stock-ticker-est-1970s.html?source=bgg","2680","Stock Ticker (1937) (used) (Made around 1970s)","1","$0.01","$0.01","$49.95","99.98%"
"210000002331","700304158598","","https://www.usedgames.ca/dice-throne-marvel-x-men-box-2.html","438729","Dice Throne: Marvel X-Men Box 2 Fully Sleeved NEW","2","$73.00","$36.50","$82.45","55.73%"
"210000002332","","","","","Codenames Words Party Game (hidden)","1","$18.00","$18.00","$29.95","39.9%"
"210000002333","","","","","Pulsar 2849 Nis Board Game  (2018) (Hidden)","2","$92.00","$46.00","$79.99","42.49%"
"210000002336","","","","","Angels One Five: Fighters vs Bombers in WWII (2012)","1","$35.00","$35.00","$45.95","23.83%"
"210000002340","704551402718","","https://www.usedgames.ca/texas-hold-em-folded-tabletop-with-blackjack-and-c.html","1115","Texas Hold em  Folded Tabletop with Blackjack and Craps Insert NIB (2011 est.)","3","$0.03","$0.01","$59.95","99.98%"
"210000002354","681706784052","","https://www.usedgames.ca/carcassonne-mini-expansion-5-mage-witch-2012-nib.html","118618","Carcassonne: Mage & Witch (2012) (NIB)","9","$0.09","$0.01","$34.95","99.97%"
"210000002355","655132002301","","https://www.usedgames.ca/carcassonne-mini-king-scout-2003-nib.html","7707","Carcassonne: King & Scout (2003) NIB","2","$0.02","$0.01","$34.95","99.97%"
"210000002356","681706784069","","https://www.usedgames.ca/carcassonne-mini-expansion-6-the-robbers-2012-nib.html?source=bgg","118616","Carcassonne: The Robbers (2012) NIB","1","$0.01","$0.01","$29.95","99.97%"
"210000002358","681706780030","","https://www.usedgames.ca/carcassonne-expansion-3-the-princess-the-dragon-ni.html","15158","Carcassonne: Expansion 3 – The Princess & The Dragon (2005) (NIS) (Made in 2014)","1","$0.01","$0.01","$44.95","99.98%"
"210000002359","681706780092","","https://www.usedgames.ca/carcassonne-expansion-9-hills-sheep-nis-2014.html","153773","Carcassonne: Expansion 9 – Hills & Sheep (2014) (NIS)","2","$0.02","$0.01","$89.95","99.99%"
"210000002360","681706780061","","https://www.usedgames.ca/carcassonne-expansion-6-count-king-robber-nis-2013.html","33458","Carcassonne: Expansion 6 – Count, King & Robber (2007) (NIS) (Made in 2013)","2","$0.02","$0.01","$49.95","99.98%"
"210000002362","","","https://www.usedgames.ca/copy-of-probe-used-board-game-1964-a-66170524.html?source=bgg","2060","Probe (1964) (used) (I)","1","$0.01","$0.01","$11.95","99.92%"
